Name,Left Arm,Left Torso,Center,Right Torso,Right Arm,Head,JJ,Engines,Hardpoints,Torso/Arm,Costs
COM-3A,1 E,,1 M (10),1 AMS,1 E   1 M (10),,,100-240 STD150,2 0 2,90° / 40° 20° / 30°,720 1799526
"DEATH'S KNELL
Hero",2 E,,,1 AMS,2 E,,,100-240 STD175,4 0 0,90° / 40° 20° / 30°,1875
JAVELIN (30),,,,,,,,,,,
JVN-10F,,1 AMS   2 E,,1 AMS   2 E,,,8,100-285 STD180,4 0 0,110° / 35° 20° / 25°,950
JVN-10N,,1 AMS   2 M (10x2),,1 AMS   2 M (10x2),,,8,100-285 STD180,0 0 4,110° / 35° 20° / 25°,950
JVN-10P,,"3 M (10x2, 6)",1 AMS,"3 M (10x2, 6)",,,6,100-255 STD180,0 0 6,90° / 35° 20° / 25°,925
JVN-11A,,2 E,1 AMS,2 E,3 E,,6,100-255 STD180,7 0 0,90° / 35° 20° / 25°,1060
JVN-11B,,1 ECM   2 M (10x2),1 AMS,2 M (10x2),,,,100-255 STD180,0 0 4,110° / 35° 20° / 25°,1250
"HI THERE!
Hero",2 E,1 M (10),1 AMS,1 M (10),2 E,,6,100-255 XL180,4 0 2,90° / 35° 20° / 25°,2250
OSIRIS (30),,,,,,,,,,,
OSR-1P,2 B,1 AMS   1 M (10),2 E,1 M (10),2 B,,4,100-285 XL240,2 4 2,110° / 0° 25° / 30°,
OSR-1V,2 M (10x2),1 AMS   2 E,,1 M (10),2 E,,4,100-285 XL240,4 0 3,110° / 0° 25° / 30°,
"OSR-1V(C)
Champion",2 M (10x2),1 AMS   2 E,,1 M (10),2 E,,4,100-285 XL245,4 0 3,110° / 0° 25° / 30°,
OSR-2V,2 E,1 AMS   1 B,1 E,1 B,2 E,,4,100-285 XL240,5 2 0,110° / 0° 25° / 30°,
OSR-3D,1 M (10),1 AMS   2 B,2 E,1 E,2 E,,4,100-285 XL240,5 2 1,110° / 0° 25° / 30°,
OSR-4D,,1 AMS,2 E,2 E,2 E,,8,100-285 XL240,6 0 0,110° / 0° 25° / 30°,
"SEKHMET
Hero",1 B   1 E,1 AMS   1 E,,1 E,1 B   1 E,,6,100-285 XL240,4 2 0,110° / 0° 25° / 30°,
SPIDER (30),,,,,,,,,,,
SDR-5D,,1 ECM   1 AMS,1 E,,2 E,,8,100-255 STD240,3 0 0,110° / 40° 20° / 30°,1015 2533540
SDR-5K,2 B,1 AMS,1 E,,2 B,,6,100-285 STD240,1 4 0,110° / 40° 20° / 30°,985 2452540
"SDR-5K(C)
Champion",2 B,1 AMS,1 E,,2 B,,6,100-285 XL280,1 4 0,110° / 40° 20° / 30°,1235
SDR-5V,,1 AMS,2 E,,,,12,100-285 STD240,2 0 0,110° / 40° 20° / 30°,1040 2598540
"ANANSI
Hero",1 B   1 E,1 AMS,1 M (6),1 AMS,1 B   1 E,,6,100-270 XL240,2 2 1,110° / 40° 20° / 30°,2250
URBANMECH (30),,,,,,,,,,,
"K-9
Hero",3 E,,2 E,1 AMS,1 B,,4,60-180 STD60,5 1 0,360° / 0° 25° / 30°,
UM-R60,2 E,,,1 AMS,4 B,,4,60-180 STD60,2 4 0,360° / 0° 25° / 30°,625 1560113
UM-R60L,4 E,,,1 AMS,2 B,,4,60-180 STD60,4 2 0,360° / 0° 25° / 30°,700 1744084
UM-R63,1 E,2 E,,1 AMS,3 B,,4,60-180 STD60,3 3 0,360° / 0° 25° / 30°,805 2006108
UM-R68,2 E,1 E,,1 AMS,2 M (20x2),,4,60-180 STD60,3 0 2,360° / 0° 25° / 30°,
"UM-R68(L)
Special",2 E,1 E,,1 AMS,2 M (20x2),,4,60-180 STD60,3 0 2,360° / 0° 25° / 30°,
"STREET CLEANER
Hero",3 E,,,1 AMS,2 B,,6,60-210 STD60,3 2 0,360° / 0° 25° / 30°,
FIRESTARTER (35),,,,,,,,,,,
FS9-A,2 E,1 E,2 E,1 AMS   1 E,2 E,,6,100-295 STD210,8 0 0,100° / 25° 15° / 30°,1065 2662358
"EMBER
Hero",2 E,2 B,,1 AMS   2 B,2 E,,6,100-295 STD210,4 4 0,100° / 25° 15° / 30°,2625
"FIRESTORM
Hero",2 B,1 E,2 E,1 AMS   1 E,2 B,,6,100-295 STD210,4 4 0,100° / 25° 15° / 30°,
FS9-H,2 E,1 B,2 E,1 AMS   1 B,2 E,,6,100-295 STD210,6 2 0,100° / 25° 15° / 30°,1055 2629342
FS9-K,3 E,,2 E,1 AMS,3 E,,6,100-295 STD210,8 0 0,100° / 25° 15° / 30°,1065 2662342
FS9-S,2 E,1 AMS,2 E,1 AMS   1 E,2 E,,6,100-295 STD210,7 0 0,100° / 25° 15° / 30°,1295 3231842
"FS9-S(C)
Champion",2 E,1 AMS,2 E,1 AMS   1 E,2 E,,6,100-295 XL295,7 0 0,100° / 25° 15° / 30°,1620
JENNER (35),,,,,,,,,,,
JR7-D,2 E,1 AMS,"2 M (10, 5)",,2 E,,5,100-300 STD245,4 0 2,120° / 0° 20° / 30°,1205 3010018
"JR7-D(S)
Sarah",2 E,1 AMS,"2 M (10, 5)",,2 E,,5,100-300 XL300,4 0 2,120° / 0° 20° / 30°,
JR7-F,3 E,1 AMS,,,3 E,,5,100-300 STD245,6 0 0,120° / 0° 20° / 30°,1160 2893066
"JR7-F(C)
Champion",3 E,1 AMS,,,3 E,,5,100-300 XL300,6 0 0,120° / 0° 20° / 30°,1450
JR7-K,2 E,1 AMS,1 M (10),,2 E,,5,100-300 STD245,4 0 1,120° / 0° 20° / 30°,1260 3139704
"OXIDE
Hero",1 M (10),1 AMS,"2 M (10, 5)",,1 M (10),,,100-300 STD235,0 0 4,120° / 0° 20° / 30°,2625
PANTHER (35),,,,,,,,,,,
PNT-10K,,1 AMS,"2 M (10, 5)",1 AMS,2 E,,8,100-250 STD140,2 0 2,110° / 40° 20° / 30°,1155 2878413
"PNT-10K(C)
Champion",,1 AMS,"2 M (10, 5)",1 AMS,2 E,,8,100-250 XL235,2 0 2,110° / 40° 20° / 30°,1445
PNT-10P,,1 AMS,"2 M (10, 5)",,2 B,,4,100-300 XL175,0 2 2,110° / 40° 20° / 30°,1710 4264458
PNT-8Z,,1 AMS,"2 M (10, 5)",,3 E,,4,100-250 STD140,3 0 2,110° / 40° 20° / 30°,905 2255413
PNT-9R,,1 AMS,1 M (10),,4 E,,4,100-250 STD140,4 0 1,110° / 40° 20° / 30°,985 2451413
"KATANA KAT
Hero",2 E,1 AMS,1 M (10),,2 E,,8,100-250 XL140,4 0 1,110° / 40° 20° / 30°,
RAVEN (35),,,,,,,,,,,
RVN-2X,,1 AMS   2 E,,1 M (20),2 E,,,100-275 STD175,4 0 1,120° / 0° 20° / 30°,990 2473658
RVN-3L,1 M (20),1 ECM   1 AMS,,1 E   1 M (10),2 E,,,100-295 XL210,3 0 2,120° / 0° 20° / 30°,2350 5862992
"RVN-3L(C)
Champion",1 M (20),1 ECM   1 AMS,,1 E   1 M (10),2 E,,,100-295 XL295,3 0 2,120° / 0° 20° / 30°,2940
RVN-4X,2 B,1 AMS,,1 M (20),2 E,,5,100-275 STD175,2 2 1,120° / 0° 20° / 30°,1010 2520666
"HUGINN
Hero",2 B,1 AMS   1 M (20),,1 M (20),2 B,,2,100-300 XL280,0 4 2,120° / 0° 20° / 30°,2625
WOLFHOUND (35),,,,,,,,,,,
WLF-1,,1 AMS   1 E,2 E,1 E,1 E,,,100-315 STD210,5 0 0,110° / 40° 25° / 25°,1070 2670748
WLF-1A,,1 AMS   2 E,1 E,2 E,1 E,,,100-295 STD210,6 0 0,110° / 40° 25° / 25°,1040 2594748
WLF-1B,,1 AMS   1 E,2 E,1 AMS   1 E,1 E,,,100-295 STD210,5 0 0,110° / 40° 25° / 25°,1070 2670748
"WLF-1(C)
Champion",,1 AMS   1 E,2 E,1 E,1 E,,,100-315 XL295,5 0 0,110° / 40° 25° / 25°,
WLF-2,,1 AMS   1 E,2 E,1 E,2 E,,,100-295 STD210,6 0 0,110° / 40° 25° / 25°,1155 2886748
"GRINNER
Hero",,1 AMS   1 E,2 E,1 ECM   1 E,1 E,,,100-295 STD210,5 0 0,110° / 40° 25° / 25°,
ASSASSIN (40),,,,,,,,,,,
ASN-101,,1 E   1 M (10),1 AMS,1 E   1 M (10),1 E,1 E,5,100-380 STD280,4 0 2,130° / 30° 30° / 30°,
"ASN-101(C)
Champion",,1 E   1 M (10),1 AMS,1 E   1 M (10),1 E,1 E,5,100-380 XL280,4 0 2,130° / 30° 30° / 30°,
ASN-21,,2 M (10x2),1 AMS,2 M (10x2),2 E,,7,100-365 STD280,2 0 4,130° / 30° 30° / 30°,
ASN-23,,,1 AMS,3 M (10x3),3 E,,7,100-365 STD280,3 0 3,130° / 30° 30° / 30°,
ASN-26,,2 E,1 AMS,2 B,2 E,,7,100-365 XL280,4 2 0,130° / 30° 30° / 30°,
ASN-27,,1 ECM   1 M (10),1 AMS,1 M (10),2 E,1 E,7,100-365 XL280,3 0 2,130° / 30° 30° / 30°,
"DARKDEATH
Hero",,1 ECM   1 E,1 AMS,2 M (10x2),1 B,1 E,7,100-365 XL280,2 1 2,130° / 30° 30° / 30°,
CICADA (40),,,,,,,,,,,
CDA-2A,,2 E,2 E,1 AMS   2 E,,,,100-340 STD320,6 0 0,125° / 0° 30° / 30°,1280 3194944
"CDA-2A(C)
Champion",,2 E,2 E,1 AMS   2 E,,,,100-340 XL340,6 0 0,125° / 0° 30° / 30°,1600
CDA-2B,2 E,,1 E,1 AMS,2 E,,,100-340 STD320,5 0 0,125° / 0° 30° / 30°,1275 3182436
CDA-3C,,2 B,,1 AMS   2 B   1 E,,,,100-340 STD280,1 4 0,125° / 0° 30° / 30°,1280 3193110
CDA-3F,,2 E,,1 AMS   2 E,,,8,100-340 XL320,4 0 0,125° / 0° 30° / 30°,3095 7733836
"CDA-3F(L)
Special",,2 E,,1 AMS   2 E,,,8,100-340 XL320,4 0 0,125° / 0° 30° / 30°,
CDA-3M,,1 ECM   1 B   1 E,2 E,1 AMS   1 E,,,,100-340 XL320,4 1 0,125° / 0° 30° / 30°,2840 7097444
"X-5
Hero",1 E,1 E   1 M (20),,1 E   1 M (20),1 E,,,100-340 XL330,4 0 2,125° / 0° 30° / 30°,3000
VULCAN (40),,,,,,,,,,,
VL-2T,1 B,2 E,1 AMS,2 B,1 E,,6,100-315 STD240,3 3 0,130° / 45° 30° / 45°,
VL-5T,1 B,1 E,1 AMS,3 E,1 E,,6,100-315 STD240,5 1 0,130° / 45° 30° / 45°,
"BLOODLUST
Hero",2 B,1 M (20),1 AMS   1 M (10),1 M (20),1 B   1 E,1 M (5),6,100-315 XL240,1 3 4,130° / 45° 30° / 45°,
VT-5M,2 B,1 E,1 AMS,2 E,1 E,,6,100-315 STD240,4 2 0,130° / 45° 30° / 45°,
VT-5S,1 B,2 E,1 AMS,2 B,1 E,,6,100-315 XL240,3 3 0,130° / 45° 30° / 45°,
VT-6M,2 B,1 E,1 AMS,2 B,1 E,,6,100-315 XL240,2 4 0,130° / 45° 30° / 45°,
BLACKJACK (45),,,,,,,,,,,
BJ-1,1 B   1 E,1 AMS   1 E,,1 E,1 B   1 E,,4,100-235 STD180,4 2 0,110° / 0° 30° / 30°,1355 3385436
"BJ-1(C)
Champion",1 B   1 E,1 AMS   1 E,,1 E,1 B   1 E,,4,100-235 XL235,4 2 0,110° / 0° 30° / 30°,1695
BJ-1DC,1 B   1 E,1 AMS   2 E,,2 E,1 B   1 E,,,100-235 STD180,6 2 0,90° / 0° 30° / 30°,1255 3130436
BJ-1X,3 E,1 AMS   1 E,,1 E,3 E,,,100-295 STD225,8 0 0,80° / 0° 30° / 30°,1260 3144528
BJ-2,1 E,1 AMS   2 M (20x2),,2 M (20x2),1 E,,4,100-235 STD180,2 0 4,110° / 0° 30° / 30°,
"BJ-2(L)
Special",1 E,1 AMS   2 M (20x2),,2 M (20x2),1 E,,4,100-235 STD180,2 0 4,110° / 0° 30° / 30°,
BJ-3,2 E,1 AMS   1 E,,1 E,2 E,,4,100-235 STD180,6 0 0,110° / 0° 30° / 30°,1605 4000461
"ARROW
Hero",3 B,1 AMS   1 E,1 E,1 E,3 B,,4,100-235 STD235,3 6 0,90° / 0° 30° / 30°,3375
HELLSPAWN (45),,,,,,,,,,,
HSN-7D,2 E,1 M (20),1 ECM,1 AMS   1 E,1 E   1 M (20),,6,100-355 XL270,4 0 2,110° / 30° 25° / 30°,
"PARALYZER
Hero",2 E   1 M (20),1 E,1 ECM,1 AMS   1 E,2 E   1 M (20),,6,100-355 XL270,6 0 2,110° / 30° 25° / 30°,
"HSN-7P
Special",1 E,2 M (20x2),1 E,1 AMS   2 E,1 E,,,100-355 XL270,5 0 2,110° / 30° 25° / 30°,
HSN-8E,1 E,2 M (20x2),1 ECM,1 AMS   1 E,1 E   1 M (20),,6,100-355 XL270,3 0 3,110° / 30° 25° / 30°,
"HSN-8P
Special",2 M (20x2),1 M (20),,1 AMS   2 E,2 M (20x2),,6,100-355 XL270,2 0 5,110° / 30° 25° / 30°,
"HSN-9F
Special",2 E,2 M (20x2),,1 AMS,1 E   2 M (20x2),,6,100-355 XL270,3 0 4,110° / 30° 25° / 30°,
PHOENIX HAWK (45),,,,,,,,,,,
PXH-1,2 B   1 E,1 AMS,,,1 B   2 E,,8,100-355 STD270,3 3 0,110° / 30° 25° / 35°,1540 3841553
PXH-1B,1 B   1 E,1 AMS,1 ECM,1 E,1 B   2 E,,6,100-355 XL270,4 2 0,110° / 30° 25° / 35°,3160 7895553
PXH-1K,3 E,1 AMS,2 E,,3 E,,,100-355 STD270,8 0 0,110° / 30° 25° / 35°,1370 3413077
PXH-2,3 E,1 AMS,1 ECM,,3 E,,6,100-355 STD270,6 0 0,110° / 30° 25° / 35°,1690 4224561
"PXH-2(C)
Champion",3 E,1 AMS,1 ECM,,3 E,,6,100-355 XL345,6 0 0,110° / 30° 25° / 35°,
PXH-3S,2 B   1 E,1 AMS,,,1 AMS   2 E,,6,100-355 XL270,3 2 0,110° / 30° 25° / 35°,2865 7154013
"KUROI KIRI
Hero",2 B   2 E,1 AMS,,,1 AMS   2 E,,6,100-355 XL270,4 2 0,110° / 30° 25° / 35°,3375
"ROC
Hero",1 B   1 E   2 M (20x2),1 AMS,,,1 AMS   2 E,,6,100-355 XL270,3 1 2,110° / 30° 25° / 35°,3375
VINDICATOR (45),,,,,,,,,,,
VND-1AA,1 E,1 AMS   1 M (20),,1 AMS,2 E,1 E,6,100-295 STD225,4 0 1,125° / 35° 30° / 30°,1480 3693024
"VND-1AA(C)
Champion",1 E,1 AMS   1 M (20),,1 AMS,2 E,1 E,6,100-295 XL295,4 0 1,125° / 35° 30° / 30°,1850
VND-1R,2 E,1 M (20),,1 AMS,2 E,1 E,4,100-235 STD180,5 0 1,125° / 35° 30° / 30°,1360 3394029
"ST. IVES' BLUES
Hero",1 E,"2 M (20, 10)",,1 AMS,1 E,1 E,5,100-250 STD180,3 0 2,125° / 35° 30° / 30°,3375
VND-1X,3 B,1 M (20),,1 AMS,1 E,1 E,4,100-235 STD180,2 3 1,125° / 35° 30° / 30°,1360 3388529
CENTURION (50),,,,,,,,,,,
CN9-A,,"3 M (20x2, 15)",2 E,1 AMS,1 B,,,100-275 STD200,2 1 3,100° / 35° 25° / 35°,1480 3697080
"CN9-A(C)
Champion",,"3 M (20x2, 15)",2 E,1 AMS,1 B,,,100-275 STD275,2 1 3,100° / 35° 25° / 35°,1850
CN9-AH,,"3 M (20x2, 15)",,1 AMS,3 B,,,100-275 STD200,0 3 3,100° / 0° 25° / 35°,1505 3753086
CN9-AL,,2 M (20x2),2 E,1 AMS,2 E,,,100-275 STD200,4 0 2,100° / 35° 25° / 35°,1425 3552238
"CN9-A(NCIX)
Special",,3 M (20x3),2 E,1 AMS,1 B,,,100-275 STD200,2 1 3,100° / 35° 25° / 35°,
CN9-D,,2 M (20x2),2 E,1 AMS,2 B,,,100-390 XL300,2 2 2,90° / 35° 25° / 35°,3265 8158590
"YEN-LO-WANG
Hero",,,2 E,1 AMS,2 B,,,100-300 STD215,2 2 0,120° / 0° 25° / 35°,3750
CRAB (50),,,,,,,,,,,
CRB-20,1 E,,2 E,1 AMS,1 E,1 E,,100-350 STD250,5 0 0,115° / 35° 25° / 30°,1485 3703201
CRB-27,1 E,1 AMS,2 E,1 AMS,1 E,1 E,,100-325 STD250,5 0 0,115° / 35° 25° / 30°,1520 3792733
CRB-27B,2 E,,1 E,1 AMS,2 E,1 E,,100-325 STD250,6 0 0,115° / 35° 25° / 30°,1700 4240733
"CRB-27B(C)
Champion",2 E,,1 E,1 AMS,2 E,1 E,,100-325 XL280,6 0 0,115° / 35° 25° / 30°,2125
CRB-27SL,1 E,,2 E,1 AMS,1 E,1 E,5,100-325 XL250,5 0 0,115° / 35° 25° / 30°,2860 7144233
"FLORENTINE
Hero",1 B,2 M (20x2),,1 AMS   2 E,1 B,,,100-325 XL250,2 2 2,115° / 35° 25° / 30°,
ENFORCER (50),,,,,,,,,,,
ENF-4P,2 E,2 E,,1 AMS,2 B,,,100-350 STD250,4 2 0,125° / 10° 20° / 30°,1635 4080698
ENF-4R,3 E,2 E,,1 AMS,1 B,,4,100-260 STD200,5 1 0,125° / 35° 20° / 30°,1530 3818468
"ENF-4R(C)
Champion",3 E,2 E,,1 AMS,1 B,,4,100-260 XL255,5 1 0,125° / 35° 20° / 30°,1915
ENF-5D,1 E,2 E,,1 AMS,2 B,,5,100-325 XL250,3 2 0,125° / 35° 20° / 30°,3030 7566723
ENF-5P,2 B,1 E,,1 AMS,2 B,,2,100-325 XL250,1 4 0,125° / 35° 20° / 30°,2700 6743201
"GHILLIE
Hero",2 E,2 E,,1 ECM   1 AMS,1 B,,5,100-300 XL250,4 1 0,125° / 35° 20° / 30°,
HUNCHBACK (50),,,,,,,,,,,
HBK-4G,1 E,1 AMS,,3 B,1 E,1 E,,100-275 STD200,3 3 0,125° / 40° 25° / 35°,1480 3694490
HBK-4H,1 E,1 AMS,,1 B   2 E,1 E,1 E,,100-275 STD200,5 1 0,125° / 40° 20° / 35°,1460 3646484
HBK-4J,1 E,1 AMS,,3 E   2 M (10x2),1 E,1 E,,100-275 STD200,6 0 2,125° / 40° 20° / 35°,1515 3778604
HBK-4P,1 E,1 AMS,,6 E,1 E,1 E,,100-275 STD200,9 0 0,125° / 40° 20° / 35°,1440 3594484
"HBK-4P(C)
Champion",1 E,1 AMS,,6 E,1 E,1 E,,100-275 STD275,9 0 0,125° / 40° 20° / 35°,1800
HBK-4SP,2 E,1 AMS   1 M (10),,1 M (10),2 E,1 E,,100-275 STD200,5 0 2,125° / 40° 20° / 35°,1455 3632484
"GRID IRON
Hero",1 E,1 AMS   1 M (10),,2 B,1 E,1 E,,100-275 XL200,3 2 1,125° / 40° 25° / 35°,3750
TREBUCHET (50),,,,,,,,,,,
TBT-3C,1 E   1 M (20),,1 E,1 AMS   1 M (20),2 E,,,100-390 XL300,4 0 2,115° / 35° 35° / 40°,3405 8503816
TBT-5J,2 E,,,1 AMS   1 M (20),3 E,,5,100-325 STD250,5 0 1,115° / 35° 35° / 40°,1675 4186745
TBT-5N,1 E   1 M (20),,,1 AMS   1 M (20),3 E,,,100-325 STD250,4 0 2,115° / 35° 35° / 40°,1665 4161797
TBT-7K,,2 B,,1 AMS   2 E,"2 M (20, 15)",,,100-325 STD250,2 2 2,115° / 35° 35° / 40°,1550 3867177
TBT-7M,1 E   1 M (20),1 M (20),,1 AMS   1 M (20),2 E,,5,100-325 XL250,3 0 3,115° / 35° 35° / 40°,3050 7623797
"TBT-7M(C)
Champion",1 E   1 M (20),1 M (20),,1 AMS   1 M (20),2 E,,5,100-325 XL255,3 0 3,115° / 35° 35° / 40°,3815
"LOUP DE GUERRE
Hero",1 E   1 M (20),1 M (20),,1 AMS   1 M (20),1 E   1 M (20),,5,100-325 XL325,2 0 4,115° / 35° 35° / 40°,3750
UZIEL (50),,,,,,,,,,,
UZL-2S,2 E,1 B,1 M (10),1 AMS   1 B,1 E,,6,100-390 XL300,3 2 1,125° / 40° 35° / 35°,
UZL-3P,1 B,1 E,1 M (10),1 AMS   1 E,2 B,,6,100-390 XL300,2 3 1,125° / 40° 35° / 35°,
"UZL-3P(C)
Champion",1 B,1 E,1 M (10),1 AMS   1 E,2 B,,6,100-390 STD250,2 3 1,125° / 40° 35° / 35°,
UZL-3S,1 E,1 E,1 M (10),1 AMS   1 E,1 B   1 E,,6,100-390 XL300,4 1 1,125° / 40° 35° / 35°,
UZL-5P,1 E,1 M (20),1 E,1 AMS   1 M (20),2 B,,6,100-390 XL300,2 2 2,125° / 40° 35° / 35°,
UZL-6P,2 E,1 E,,1 AMS   1 E,2 E,,6,100-325 XL250,6 0 0,125° / 40° 35° / 35°,
"BELIAL
Hero",2 E,1 M (20),,1 AMS   1 M (20),2 E,,6,100-390 XL300,4 0 2,125° / 40° 35° / 35°,
BUSHWACKER (55),,,,,,,,,,,
"HIGH ROLLER
Hero",3 E,1 B   1 M (20),1 E,1 B,1 B,1 AMS,,200-360 XL275,4 3 1,110° / 35° 30° / 30°,
BSW-P1,"2 M (20, 15)",2 M (20x2),1 E,2 M (20x2),1 B,1 AMS,,200-360 XL275,1 1 6,110° / 35° 30° / 30°,
BSW-P2,1 M (20),1 B   1 M (20),2 E,1 B,2 E,1 AMS,,200-360 XL275,4 2 2,110° / 35° 30° / 30°,
BSW-S2,"2 M (20, 15)",1 AMS   2 M (20x2),2 E,,1 B,1 AMS,,200-360 XL275,2 1 4,110° / 35° 30° / 30°,
"BSW-S2(C)
Champion","2 M (20, 15)",1 AMS   2 M (20x2),2 E,,1 B,1 AMS,,200-360 STD245,2 1 4,110° / 35° 30° / 30°,
BSW-X1,"2 M (20, 15)",1 B   1 M (20),1 E,2 B,1 B,1 AMS,,200-360 XL275,1 4 3,110° / 35° 30° / 30°,
BSW-X2,1 M (20),1 B   2 M (20x2),2 E,1 B,1 B,1 AMS,,200-360 XL275,2 3 3,110° / 35° 30° / 30°,
GRIFFIN (55),,,,,,,,,,,
"SPARKY
Hero",2 E,1 AMS   1 E,,1 E,2 E,,7,110-360 STD275,6 0 0,130° / 35° 25° / 30°,4125
GRF-1N,,1 AMS,,"3 M (20, 10x2)",3 E,,7,110-360 STD275,3 0 3,130° / 35° 25° / 30°,1880 4696843
GRF-1S,,"2 M (20, 10)",,1 AMS,4 E,,7,110-360 STD275,4 0 2,130° / 35° 25° / 30°,1795 4486783
"GRF-1S(C)
Champion",,"2 M (20, 10)",,1 AMS,4 E,,7,110-360 XL325,4 0 2,130° / 35° 25° / 30°,2245
GRF-2N,,"1 ECM   2 M (20, 10)",,"1 AMS   2 M (20, 10)",2 E,,5,110-360 STD275,2 0 4,130° / 35° 25° / 30°,2250 5619335
GRF-3M,,1 AMS   1 E,,"4 M (20, 10x3)",1 E,,7,110-360 XL275,2 0 4,130° / 35° 25° / 30°,3315 8277351
GRF-5M,,1 AMS   2 E,,"2 M (20, 10)",4 B,,7,110-360 XL275,2 4 2,130° / 35° 25° / 30°,
"GRF-5M(L)
Special",,1 AMS   2 E,,"2 M (20, 10)",4 B,,7,110-360 XL275,2 4 2,130° / 35° 25° / 30°,
"ARES
Hero",2 E,1 AMS,,"2 M (20, 10)",2 E,,7,110-360 STD275,4 0 2,130° / 35° 25° / 30°,
KINTARO (55),,,,,,,,,,,
KTO-18,"1 E   2 M (20, 15)",1 AMS,1 M (10),2 M (20x2),1 E,,,110-360 STD275,2 0 5,90° / 20° 30° / 30°,1790 4474807
"KTO-18(C)
Champion","1 E   2 M (20, 15)",1 AMS,1 M (10),2 M (20x2),1 E,,,110-360 XL300,2 0 5,90° / 20° 30° / 30°,2240
KTO-19,"1 E   2 M (20, 15)",1 AMS,1 M (10),1 M (20),2 E,,,110-360 STD275,3 0 4,90° / 20° 30° / 30°,1840 4589395
KTO-20,1 M (20),1 AMS,2 E,2 M (20x2),2 E,,,110-360 STD275,4 0 3,90° / 20° 30° / 30°,1880 4697395
"GOLDEN BOY
Hero","1 E   2 M (20, 15)",1 AMS,"2 M (10, 5)",1 M (20),2 E,,,110-290 XL220,3 0 5,90° / 20° 30° / 30°,4125
SHADOW HAWK (55),,,,,,,,,,,
SHD-2D,2 E,1 AMS   1 B,1 M (6),1 M (10),1 E,1 M (5),3,110-360 STD275,3 1 3,90° / 35° 30° / 30°,1780 4441203
SHD-2D2,1 E,1 AMS   1 B,1 M (6),2 M (10x2),1 E,1 M (5),3,110-360 STD275,2 1 4,90° / 35° 30° / 30°,1790 4473235
SHD-2H,,1 AMS   3 B,,2 M (10x2),1 E,1 M (5),3,110-360 STD275,1 3 3,90° / 35° 30° / 30°,1745 4356283
"SHD-2H(C)
Champion",,1 AMS   3 B,,2 M (10x2),1 E,1 M (5),3,110-360 XL265,1 3 3,90° / 35° 30° / 30°,2185
SHD-2K,,1 AMS   3 E,,3 M (10x3),,,5,110-360 STD275,3 0 3,90° / 35° 30° / 30°,1760 4394783
SHD-5M,,1 AMS   2 B,,1 M (10),2 E,1 M (5),5,110-360 XL275,2 2 2,90° / 35° 30° / 30°,3270 8166799
