Name,Type,Category,PP,Power,Accuracy,Battle Effect,In-Depth Effect,Secondary Effect,Detailed Effect,Effect Rate,Is Self Z-Move?,Corresponding Z-Move,Z-Move Item,Z-Move Power,Is Z-Move?,Z-Move Required Pokemon,Z-Move Required Moves,Moves that turn into this,Base Critical Hit Rate,Priority,Target,Pokemon Hit,Physical Contact?,Sound Type?,Punch Move?,Snatchable?,Z-Move?,Defrosts When Used?,Hits opposite side in triples?,Reflected?,Blocked?,Copyable?,Status Effects,Stats Altered,Z-Stats Altered,Ignores
Aeroblast,Flying,Special,5,100,95,A vortex of air is shot at the target to inflict damage. Critical hits land more easily.,,Has an increased Critical Hit ratio,,,FALSE,Supersonic Skystrike,,180,FALSE,,,,12.5,0,All but self,Selected Target,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,,,,
After You,Normal,Other,15,0,0,The user helps the target and makes it use its move right after the user.,,Target moves immediately after the user,Boosts Speed by 1 stage,,TRUE,,Normalium Z,,FALSE,,,,,0,Any Adjacent,Selected Target,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Agility,Psychic,Other,30,0,0,The user relaxes and lightens its body to move faster. This sharply raises the Speed stat.,,Raises user's Speed two stages.,Resets all lowered stat modifications,,TRUE,,Psychium Z,,FALSE,,,,,0,Self,Self,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Spe:+2:Target,,
Air Cutter,Flying,Special,25,60,95,The user launches razor-like wind to slash the opposing Pokémon. Critical hits land more easily.,,Has an increased Critical Hit ratio,,,FALSE,Supersonic Skystrike,,120,FALSE,,,,12.5,0,Adjacent Foes,All Adjacent Foes,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,,,
Air Slash,Flying,Special,15,75,95,The user attacks with a blade of air that slices even the sky. This may also make the target flinch.,,May cause opponent to flinch.,,30,FALSE,Supersonic Skystrike,,140,FALSE,,,,6.25,0,All but self,Selected Target,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Flinch:Target,,,
All-Out Pummeling,Fighting,Special,1,1,0,"The user rams an energy orb created by its Z-Power into the target with full force. The power varies, depending on the original move.",,No effect.,,,FALSE,,Fightinium Z,,TRUE,,,"Arm Thrust,Aura Sphere,Brick Break,Circle Throw,Close Combat,Counter,Cross Chop,Double Kick,Drain Punch,Dynamic Punch,Final Gambit,Flying Press,Focus Blast,Focus Punch,Force Palm,Hammer Arm,High Jump Kick,Jump Kick,Karate Chop,Low Kick,Low Sweep,Mach Punch,Power-Up Punch,Revenge,Reversal,Rock Smash,Rolling Kick,Sacred Sword,Secret Sword,Seismic Toss,Sky Uppercut,Storm Throw,Submission,Superpower,Triple Kick,Vacuum Wave,Vital Throw,Wake-Up Slap",6.25,0,Any Adjacent,Selected Target,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Ally Switch,Psychic,Other,15,0,0,The user teleports using a strange power and switches places with one of its allies.,,Switches place with other Pokémon on field,Boosts Speed by 2 stages,,TRUE,,Psychium Z,,FALSE,,,,,2,Self,Self,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Amnesia,Psychic,Other,20,0,0,The user temporarily empties its mind to forget its concerns. This sharply raises the user's Sp. Def stat.,,Raises user's Special Defense two stages.,Resets all lowered stat modifications,,TRUE,,Psychium Z,,FALSE,,,,,0,Self,Self,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,SpD:+2:Target,,
Anchor Shot,Steel,Physical,20,80,100,The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.,,Prevents opponent from switching,,,FALSE,Corkscrew Crash,,160,FALSE,,,,6.25,0,Any Adjacent,Selected Target,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Can't Escape:Target,,,
Ancient Power,Rock,Special,5,60,100,The user attacks with a prehistoric power. This may also raise all the user's stats at once.,,May raise all user's stats one stage.,,10,FALSE,Continental Crush,,120,FALSE,,,,6.25,0,Any Adjacent,Selected Target,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,All:+1:Target,,
Aqua Jet,Water,Physical,20,40,100,The user lunges at the target at a speed that makes it almost invisible. This move always goes first.,,Has increased Speed Priority,,,FALSE,Hydro Vortex,,100,FALSE,,,,6.25,1,Any Adjacent,Selected Target,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,,,
Aqua Ring,Water,Other,20,0,0,The user envelops itself in a veil made of water. It regains some HP every turn.,,Recovers 1/16th of user's HP each turn,Boosts Defense by 1 stage,,TRUE,,Waterium Z,,FALSE,,,,,0,Self,Self,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Aqua Ring:Target,,,
Aqua Tail,Water,Physical,10,90,90,The user attacks by swinging its tail as if it were a vicious wave in a raging storm.,,No effect.,,,FALSE,Hydro Vortex,,175,FALSE,,,,6.25,0,Any Adjacent,Selected Target,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,,,
Arm Thrust,Fighting,Physical,20,15,100,The user lets loose a flurry of open-palmed arm thrusts that hit two to five times in a row.,,Attacks 2-5 times in a row. 37.5% chance of 2 hits. 37.5% chance of 3 hits. 12.5% chance of 4 hits. 12.5% chance of 5 hits,,,FALSE,All-Out Pummeling,,100,FALSE,,,,6.25,0,Any Adjacent,Selected Target,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,,,
Aromatherapy,Grass,Other,5,0,0,The user releases a soothing scent that heals all status conditions affecting the user's party.,,Heals party's status problems.,Heals the Hit Points of this Pokémon,,TRUE,,Grassium Z,,FALSE,,,,,0,All Allies,Team,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,
Aromatic Mist,Fairy,Other,20,0,0,The user raises the Sp. Def stat of an ally Pokémon by using a mysterious aroma.,,Raises ally Pokémon's Special Defense one stage.,Boosts Special Defense by 2 stages,,TRUE,,Fairium Z,,FALSE,,,,,0,Adjacent ally,Adjacent Ally,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,SpD:+1:Target,,
Assist,Normal,Other,20,0,0,The user hurriedly and randomly uses a move among those known by ally Pokémon.,"This move selects and uses a random move known by a Pokémon within your party. However, it cannot use the moves; Assist, Chatter, Circle Throw, Copycat, Counter, Covet, Destiny Bond, Detect, Dragon Tail, Endure, Feint, Focus Punch, Follow Me, Helping Hand, Me First, Metronome, Mimic, Mirror Coat, Mirror Move, Protect, Quick Guard, Sketch, Sleep Talk, Snatch, Struggle, Switcheroo, Thief, Trick, or Wide Guard",Uses a random move from another Pokémon in the team.,,,TRUE,,Normalium Z,,FALSE,,,,,0,Self,Self,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Assurance,Dark,Physical,10,60,100,"If the target has already taken some damage in the same turn, this attack's power is doubled.",,Doubles damage if target has already received damage this turn.,,,FALSE,Black Hole Eclipse,,120,FALSE,,,,6.25,0,Any Adjacent,Selected Target,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,,,
Astonish,Ghost,Physical,15,30,100,The user attacks the target while shouting in a startling fashion. This may also make the target flinch.,,May cause opponent to flinch.,,30,FALSE,Never-Ending Nightmare,,100,FALSE,,,,6.25,0,Any Adjacent,Selected Target,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Flinch:Target,,,
Attack Order,Bug,Physical,15,90,100,The user calls out its underlings to pummel the target. Critical hits land more easily.,,Has an increased Critical Hit ratio,,,FALSE,Savage Spin-Out,,175,FALSE,,,,12.5,0,Any Adjacent,Selected Target,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,,,
Attract,Normal,Other,15,0,100,"If it is the opposite gender of the user, the target becomes infatuated and less likely to attack.",,Causes the opponent to be inflicted with Infatuation,Resets all lowered stat modifications,,TRUE,,Normalium Z,,FALSE,,,,,0,Any Adjacent,Selected Target,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,,
Aura Sphere,Fighting,Special,20,80,0,The user lets loose a blast of aura power from deep within its body at the target. This attack never misses.,,Cannot miss.,,,FALSE,All-Out Pummeling,,160,FALSE,,,,6.25,0,All but self,Selected Target,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,,,,
Aurora Beam,Ice,Special,20,65,100,The target is hit with a rainbow-colored beam. This may also lower the target's Attack stat.,,May lower opponent's Attack one stage.,,10,FALSE,Subzero Slammer,,120,FALSE,,,,6.25,0,Any Adjacent,Selected Target,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,Atk:-1:Target,,
Aurora Veil,Ice,Other,20,0,0,This move reduces damage from physical and special moves for five turns. This can be used only in a hailstorm.,"This move will put up a protective barrier that will reduce the damage inflicted by attacks by 50% in Single Battles, and 33% in Double Battles. It can stack with Reflect and Light Screen. It can only be activated during Hail, but will continue if Hail ends during its time. The ability Infiltrator ignores its effects",Lowers damage from Physical & Special moves for 5 turns,Boosts Speed by 1 stage,,TRUE,,Icium Z,,FALSE,,,,,0,All Allies,Ally,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Autotomize,Steel,Other,15,0,0,The user sheds part of its body to make itself lighter and sharply raise its Speed stat.,,Raises user's Speed two stages. Halves weight.,Resets all lowered stat modifications,,TRUE,,Steelium Z,,FALSE,,,,,0,Self,Self,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Spe:+2:Target,,
Avalanche,Ice,Physical,10,60,100,The power of this attack move is doubled if the user has been hurt by the target in the same turn.,,Power doubles if user was hit before using the Attack.,,,FALSE,Subzero Slammer,,120,FALSE,,,,6.25,-4,Any Adjacent,Selected Target,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,,,
Baby-Doll Eyes,Fairy,Other,30,0,100,"The user stares at the target with its baby-doll eyes, which lowers its Attack stat. This move always goes first.",,Lowers opponent's Attack stat one stage,Boosts Defense by 1 stage,,TRUE,,Fairium Z,,FALSE,,,,,1,Any Adjacent,Selected Target,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,Atk:-1:Target,Def:1:Self,
Baneful Bunker,Poison,Other,10,0,0,"In addition to protecting the user from attacks, this move also poisons any attacker that makes direct contact.",,Inflicts Poison if target makes physical contact,Boosts Defense by 1 stage,,TRUE,,Poisonium Z,,FALSE,,,,,4,Self,Self,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Baneful Bunker:Target,,Def:1:Target,
Barrage,Normal,Physical,20,15,85,Round objects are hurled at the target to strike two to five times in a row.,,Attacks 2-5 times in a row. 37.5% chance of 2 hits. 37.5% chance of 3 hits. 12.5% chance of 4 hits. 12.5% chance of 5 hits,,,FALSE,Breakneck Blitz,,100,FALSE,,,,6.25,0,Any Adjacent,Selected Target,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,,,
Barrier,Psychic,Other,20,0,0,The user throws up a sturdy wall that sharply raises its Defense stat.,,Raises user's Defense two stages.,Resets all lowered stat modifications,,TRUE,,Psychium Z,,FALSE,,,,,0,Self,Self,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Def:+2:Target,,
Baton Pass,Normal,Other,40,0,0,The user switches places with a party Pokémon in waiting and passes along any stat changes.,,Switches out the user but stat changes remain.,Resets all lowered stat modifications,,TRUE,,Normalium Z,,FALSE,,,,,0,Self,Self,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Beak Blast,Flying,Physical,15,100,100,"The user first heats up its beak, and then it attacks the target. Making direct contact with the Pokémon while it's heating up its beak results in a burn.",,"Moves first in turn to charge, and last in the same turn to Attack. If opponent makes physical contact between this, the opponent is Burned",,,FALSE,Supersonic Skystrike,,180,FALSE,,,,6.25,-3,Any Adjacent,Selected Target,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,
Beat Up,Dark,Physical,10,1,100,"The user gets all party Pokémon to attack the target. The more party Pokémon, the greater the number of attacks.",,Does additional damage for every Pokémon in trainer's team.,,,FALSE,Black Hole Eclipse,,100,FALSE,,,,6.25,0,Any Adjacent,Selected Target,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,,,
Belch,Poison,Special,10,120,90,The user lets out a damaging belch at the target. The user must eat a held Berry to use this move.,,Consumes a Berry,,,FALSE,Acid Downpour,,190,FALSE,,,,6.25,0,Any Adjacent,Selected Target,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,
Belly Drum,Normal,Other,10,0,0,The user maximizes its Attack stat in exchange for HP equal to half its max HP.,,Cut's half of user's maximum HP and maximizes Attack.,Heals the Hit Points of this Pokémon,,TRUE,,Normalium Z,,FALSE,,,,,0,Self,Self,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Atk:Max:Target,
Bestow,Normal,Other,15,0,0,The user passes its held item to the target when the target isn't holding an item.,,Passes holt item onto the target,Boosts Speed by 2 stages,,TRUE,,Normalium Z,,FALSE,,,,,0,Any Adjacent,Selected Target,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,Spe:2:Self,
Bide,Normal,Physical,10,1,0,"The user endures attacks for two turns, then strikes back to cause double the damage taken.",,"User takes hits for 2 rounds, then strikes back.",,,FALSE,Breakneck Blitz,,100,FALSE,,,,6.25,1,Self,Self,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,
Bind,Normal,Physical,20,15,85,Things such as long bodies or tentacles are used to bind and squeeze the target for four to five turns.,,Traps opponent.,,100,FALSE,Breakneck Blitz,,100,FALSE,,,,6.25,0,Any Adjacent,Selected Target,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,,,
Bite,Dark,Physical,25,60,100,The target is bitten with viciously sharp fangs. This may also make the target flinch.,,May cause opponent to flinch.,,30,FALSE,Black Hole Eclipse,,120,FALSE,,,,6.25,0,Any Adjacent,Selected Target,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Flinch:Target,,,
Black Hole Eclipse,Dark,Special,1,1,0,"The user gathers dark energy using its Z-Power and sucks the target into it. The power varies, depending on the original move.",,No effect.,,,FALSE,,Darkinium Z,,TRUE,,,"Assurance,Beat Up,Bite,Brutal Swing,Crunch,Dark Pulse,Darkest Lariat,Feint Attack,Fling,Foul Play,Hyperspace Fury,Knock Off,Night Daze,Night Slash,Payback,Power Trip,Punishment,Pursuit,Snarl,Sucker Punch,Thief,Throat Chop",6.25,0,Any Adjacent,Selected Target,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Blast Burn,Fire,Special,5,150,90,The target is razed by a fiery explosion. The user can't move on the next turn.,,User cannot Attack on the next turn.,,,FALSE,Inferno Overdrive,,200,FALSE,,,,6.25,0,Any Adjacent,Selected Target,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Recharging:Self,,,
Blaze Kick,Fire,Physical,10,85,90,The user launches a kick that lands a critical hit more easily. This may also leave the target with a burn.,,Has high critical hit ratio. May induce burn.,,10,FALSE,Inferno Overdrive,,160,FALSE,,,,12.5,0,Any Adjacent,Selected Target,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Burn:Target,,,
Blizzard,Ice,Special,5,110,70,A howling blizzard is summoned to strike opposing Pokémon. This may also leave the opposing Pokémon frozen.,,May Freeze opponent.,,10,FALSE,Subzero Slammer,,185,FALSE,,,,6.25,0,Adjacent Foes,All Adjacent Foes,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Freeze:Target,,,
Block,Normal,Other,5,0,0,The user blocks the target's way with arms spread wide to prevent escape.,,Prevents the opponent from escaping.,Boosts Defense by 1 stage,,TRUE,,Normalium Z,,FALSE,,,,,0,Any Adjacent,Selected Target,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Can't Escape:Target,,,
Bloom Doom,Grass,Special,1,1,0,"The user collects energy from plants using its Z-Power and attacks the target with full force. The power varies, depending on the original move.",,No effect.,,,FALSE,,Grassium Z,,TRUE,,,"Absorb,Bullet Seed,Energy Ball,Frenzy Plant,Giga Drain,Grass Knot,Grass Pledge,Horn Leech,Leaf Blade,Leaf Storm,Leaf Tornado,Leafage,Magical Leaf,Mega Drain,Needle Arm,Petal Blizzard,Petal Dance,Power Whip,Razor Leaf,Seed Bomb,Seed Flare,Solar Beam,Solar Blade,Trop Kick,Vine Whip,Wood Hammer",6.25,0,Any Adjacent,Selected Target,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Bloom Doom,Grass,Special,1,1,0,"The user collects energy from plants using its Z-Power and attacks the target with full force. The power varies, depending on the original move.",,No effect.,,,FALSE,,Grassium Z,,TRUE,,,"Absorb,Bullet Seed,Energy Ball,Frenzy Plant,Giga Drain,Grass Knot,Grass Pledge,Horn Leech,Leaf Blade,Leaf Storm,Leaf Tornado,Leafage,Magical Leaf,Mega Drain,Needle Arm,Petal Blizzard,Petal Dance,Power Whip,Razor Leaf,Seed Bomb,Seed Flare,Solar Beam,Solar Blade,Trop Kick,Vine Whip,Wood Hammer",6.25,0,Any Adjacent,Selected Target,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Blue Flare,Fire,Special,5,130,85,"The user attacks by engulfing the target in an intense, yet beautiful, blue flame. This may also leave the target with a burn.",,May induce burn.,,20,FALSE,Inferno Overdrive,,195,FALSE,,,,6.25,0,Any Adjacent,Selected Target,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Burn:Target,,,
Body Slam,Normal,Physical,15,85,100,The user drops onto the target with its full body weight. This may also leave the target with paralysis.,,May induce paralysis.,,30,FALSE,Breakneck Blitz,,160,FALSE,,,,6.25,0,Any Adjacent,Selected Target,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Paralysis:Target,,,
Bolt Strike,Electric,Physical,5,130,85,The user surrounds itself with a great amount of electricity and charges its target. This may also leave the target with paralysis.,,May induce paralysis.,,20,FALSE,Gigavolt Havoc,,195,FALSE,,,,6.25,0,Any Adjacent,Selected Target,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Paralysis:Target,,,
Bone Club,Ground,Physical,20,65,85,The user clubs the target with a bone. This may also make the target flinch.,,May cause opponent to flinch.,,10,FALSE,Tectonic Rage,,120,FALSE,,,,6.25,0,Any Adjacent,Selected Target,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Flinch:Target,,,
Bone Rush,Ground,Physical,10,25,90,The user strikes the target with a hard bone two to five times in a row.,,Attacks 2-5 times in a row. 37.5% chance of 2 hits. 37.5% chance of 3 hits. 12.5% chance of 4 hits. 12.5% chance of 5 hits,,,FALSE,Tectonic Rage,,140,FALSE,,,,6.25,0,Any Adjacent,Selected Target,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,,,
Bonemerang,Ground,Physical,10,50,90,The user throws the bone it holds. The bone loops around to hit the target twiceâcoming and going.,,Attacks twice in a row.,,,FALSE,Tectonic Rage,,100,FALSE,,,,6.25,0,Any Adjacent,Selected Target,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,,,
Boomburst,Normal,Special,10,140,100,"The user attacks everything around it with the destructive power of a terrible, explosive sound.",,No effect.,,,FALSE,Breakneck Blitz,,200,FALSE,,,,6.25,0,All Adjacent,All Adjacent Pokémon,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,,,
Bounce,Flying,Physical,5,85,85,"The user bounces up high, then drops on the target on the second turn. This may also leave the target with paralysis.",,"The user is protected the first turn, Attacks the second turn. May induce Paralysis",,30,FALSE,Supersonic Skystrike,,160,FALSE,,,,6.25,0,All but self,Selected Target,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Paralysis:Target,,,
Brave Bird,Flying,Physical,15,120,100,The user tucks in its wings and charges from a low altitude. This also damages the user quite a lot.,,User takes recoil damage equal to a third of the damage inflicted.,,,FALSE,Supersonic Skystrike,,190,FALSE,,,,6.25,0,All but self,Selected Target,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,,,,
Breakneck Blitz,Normal,Special,1,1,0,"The user builds up its momentum using its Z-Power and crashes into the target at full speed. The power varies, depending on the original move.",,No effect.,,,FALSE,,Normalium Z,,TRUE,,,"Barrage,Bide,Bind,Body Slam,Boomburst,Chip Away,Comet Punch,Constrict,Covet,Crush Claw,Crush Grip,Cut,Dizzy Punch,Double Hit,Double Slap,Double-Edge,Echoed Voice,Egg Bomb,Endeavor,Explosion,Extreme Speed,Facade,Fake Out,False Swipe,Feint,Flail,Frustration,Fury Attack,Fury Swipes,Giga Impact,Guillotine,Head Charge,Headbutt,Hidden Power,Hold Back,Horn Attack,Horn Drill,Hyper Beam,Hyper Fang,Hyper Voice,Judgment,Last Resort,Mega Kick,Mega Punch,Multi-Attack,Natural Gift,Pay Day,Pound,Present,Quick Attack,Rage,Rapid Spin,Razor Wind,Relic Song,Retaliate,Return,Revelation Dance,Rock Climb,Round,Scratch,Secret Power,Self-Destruct,Skull Bash,Slam,Slash,Smelling Salts,Snore,Sonic Boom,Spike Cannon,Spit Up,Stomp,Strength,Struggle,Super Fang,Swift,Tackle,Tail Slap,Take Down,Techno Blast,Thrash,Tri Attack,Trump Card,Uproar,Vice Grip,Weather Ball,Wrap,Wring Out",6.25,0,Any Adjacent,Selected Target,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,"Ability:Pixilate,Ability:Refrigerate,Ability:Refrigerate,Ability:Galvanize"
